email,date,sender,recipient,subject,labels
09cb5f97-8ff4-4992-8c7d-4e6e711dcf1a,2024-03-19 18:31:50,stephanie97@example.org,john.doe@personal.com,Meeting Request: Color throw their hear.,Work
93d99884-4c45-403b-8fce-cfb581bd3521,2024-03-18 18:31:50,brownnatalie@example.net,john.doe@personal.com,Free Gift: he,Spam
68e43b23-26a7-413d-8427-5b9ca622d997,2024-03-28 18:31:50,brooke64@example.net,john.doe@personal.com,Exclusive Offer: Digitized intermediate collaboration,Spam
3b1df09d-d155-42f3-9bea-beeeaf3c88e4,2024-03-14 18:31:50,christy55@example.com,john.doe@personal.com,"Project Update - Willis, Barnett and Wallace",Work
3f424075-4c1c-443f-a56d-3a70cdff0db9,2024-02-29 18:31:50,smithdawn@example.net,john.doe@personal.com,Free Gift: environmental,Spam
94a9f160-68f5-4f53-9787-6baa547bb636,2024-03-05 18:31:50,john.doe@personal.com,weaversusan@example.net,Meeting Request: Of give kind million choice.,Work
2cf0cd73-429f-42d0-9be0-c63aea3a00ab,2024-03-03 18:31:50,carolhoffman@example.org,john.doe@personal.com,I ready.: Open lose explain economy.,Personal
0cfdc704-8036-425f-a990-24dbf3545605,2024-03-19 18:31:50,john.doe@personal.com,maria91@example.com,Meeting Request: Mrs performance foreign mean.,Work
5096dd3b-37c7-427a-a088-57c588054848,2024-03-15 18:31:50,lgonzalez@example.net,john.doe@personal.com,Project Update - Johnson Inc,Work
bba9525a-04c2-498a-b33a-590cc8970e79,2024-03-28 18:31:50,dhill@example.net,john.doe@personal.com,Free Gift: born,Spam
6f3d1856-9421-4704-aebd-3dc7225f6b4f,2024-03-04 18:31:50,timothy95@example.net,john.doe@personal.com,Meeting Request: End property staff.,Work
76741840-e599-40bd-b975-14a082488171,2024-03-08 18:31:50,alicia27@example.com,john.doe@personal.com,Exclusive Offer: Balanced 5thgeneration hub,Spam
129b00a2-e640-4983-a7cc-8eeb9778a6ae,2024-03-18 18:31:50,sherry75@example.com,john.doe@personal.com,Win a Prize: Rodriguez-Jones,Spam
50bef80e-8886-44c6-99e6-14c81492a551,2024-03-07 18:31:50,qcarson@example.org,john.doe@personal.com,Free Gift: century,Spam
780a99fd-9184-4efb-994f-6891474fa290,2024-03-19 18:31:50,qcarson@example.org,john.doe@personal.com,Win a Prize: Lee Group,Spam
982dade1-2312-4288-9a7d-d2657da39744,2024-03-21 18:31:50,john.doe@personal.com,mary11@example.net,How are you?,Personal
5ba06293-651c-4668-b986-44799be1e937,2024-03-18 18:31:50,kimberly72@example.net,john.doe@personal.com,How are you?,Personal
86e994cc-2120-4cbc-9d6b-01d443140139,2024-03-15 18:31:50,hartmandeborah@example.org,john.doe@personal.com,Limited Time Deal: exploit real-time markets,Spam
32bbc1a9-b5a8-4711-9abd-a64536519736,2024-03-19 18:31:50,john.doe@personal.com,dperkins@example.com,Catching up,Personal
feebb443-ac6d-418e-ba8e-0d54bad0d2f4,2024-03-14 18:31:50,burtoneddie@example.org,john.doe@personal.com,"Project Update - Welch, Alexander and Knox",Work
0b8b6cb3-4e00-4972-a958-3b15bbda95c3,2024-03-10 18:31:50,john.doe@personal.com,josephallen@example.net,Training.: Government trouble member man.,Personal
dc83222b-cd92-4f58-aa8a-ace1b80d51a0,2024-03-06 18:31:50,reginagarcia@example.org,john.doe@personal.com,Limited Time Deal: repurpose impactful communities,Spam
e05f98da-ae43-4ece-a036-869b4347dfd9,2024-03-23 18:31:50,dhill@example.net,john.doe@personal.com,Exclusive Offer: Profound cohesive core,Spam
69b5008a-9f70-42bb-9341-978608e5eb6f,2024-03-19 18:31:50,john.doe@personal.com,jamiewatkins@example.org,Weekend plans?,Personal
a311f87c-33dc-4bdd-b04b-8908a7335e4e,2024-03-02 18:31:50,wandareed@example.net,john.doe@personal.com,Research long.: Task white its travel.,Personal
1d996008-231b-4d16-b8c0-515527f76134,2024-03-18 18:31:50,lukehoward@example.com,john.doe@personal.com,Win a Prize: Valdez Group,Spam
6e3de055-9b8b-4177-a1ee-b6360047b38e,2024-02-29 18:31:50,erika08@example.org,john.doe@personal.com,Weekend plans?,Personal
5e22d5e9-9bda-4495-ab40-66c3b132faa2,2024-03-22 18:31:50,marie69@example.com,john.doe@personal.com,Meeting Request: Team really father bag.,Work
cbf2d544-d730-4298-aa03-57aca1612be3,2024-03-11 18:31:50,john.doe@personal.com,trobinson@example.net,Likely music.: Look room reach.,Personal
b47c9202-2db9-46f2-8591-5d384d29e040,2024-03-21 18:31:50,megancameron@example.net,john.doe@personal.com,Free Gift: theory,Spam
fb73b59d-f205-4f41-95f4-2e6d4c85fdf9,2024-03-27 18:31:50,john.doe@personal.com,henryjimenez@example.com,Share.: Begin question much study wife.,Personal
89bff76f-0900-428d-b66d-0e4bcb863bc9,2024-03-01 18:31:50,john.doe@personal.com,jefferyperez@example.org,Spring.: Leave board choose clear.,Personal
147c1baf-9323-4b71-a431-981d68ffaa53,2024-03-25 18:31:50,john.doe@personal.com,rodriguezlisa@example.com,Task Status: Microbiologist,Work
39775cbb-965d-4456-95ac-8ccab5b6c784,2024-03-23 18:31:50,eric74@example.net,john.doe@personal.com,How are you?,Personal
a2efc68a-929d-4da7-a56a-9aeefa6b31d6,2024-03-16 18:31:50,john.doe@personal.com,qrose@example.org,"Task Status: Accountant, chartered management",Work
b30de06d-89b6-4564-97a8-d5d45bb19c76,2024-03-26 18:31:50,john.doe@personal.com,elizabethmiller@example.com,How are you?,Personal
4a94e55d-b9f0-472a-bc81-c771751b71b1,2024-03-09 18:31:50,john.doe@personal.com,torresralph@example.org,Require rule.: Road reveal.,Personal
dddb2f50-595e-4d57-befb-a6e93007e1d8,2024-03-26 18:31:50,ywood@example.net,john.doe@personal.com,Limited Time Deal: grow real-time architectures,Spam
3a03f6b6-bda1-4fbd-a0ca-33d25f6955e5,2024-03-26 18:31:50,hstark@example.org,john.doe@personal.com,How are you?,Personal
ad487556-29f0-46ec-a23e-bcfb32530457,2024-02-29 18:31:50,davidrivera@example.org,john.doe@personal.com,Official street.: Travel spring ten statement.,Personal
593220b8-f55b-4162-9654-7d12ce89eb47,2024-03-08 18:31:50,sherry75@example.com,john.doe@personal.com,"Win a Prize: Schultz, Mcfarland and Crawford",Spam
5ce2ea35-8ee7-48d7-bd7a-1f3d94a1e506,2024-03-15 18:31:50,erichill@example.com,john.doe@personal.com,Meeting Request: Century space last population.,Work
d80895ea-2c1a-4301-a6a6-af3772a8cf9d,2024-03-16 18:31:50,cgallagher@example.org,john.doe@personal.com,Professional.: Later article you.,Personal
83fd2e09-f29b-401d-a8e0-64568f8bab78,2024-03-11 18:31:50,john.doe@personal.com,thompsonsean@example.net,Task Status: Equities trader,Work
a48b9f74-3b26-4daa-ad9d-579fe4a685e8,2024-03-14 18:31:50,fletcherstephanie@example.net,john.doe@personal.com,Catching up,Personal
3e277472-21d7-49ae-aae4-c107033b41f2,2024-02-29 18:31:50,toni67@example.org,john.doe@personal.com,Exclusive Offer: Exclusive responsive system engine,Spam
f4bf4ca7-2cf2-4ea6-966a-5b5960f1b25f,2024-03-19 18:31:50,john.doe@personal.com,qford@example.net,Weekend plans?,Personal
8b97c5eb-00c4-477e-ae35-afb1128f1363,2024-03-22 18:31:50,john.doe@personal.com,kimberly93@example.org,Base voice.: Political buy.,Personal
721fab20-cca7-4788-b946-2abd76af68bd,2024-03-09 18:31:50,richard37@example.org,john.doe@personal.com,Exclusive Offer: Universal user-facing interface,Spam
460bbf7b-869e-4e8f-9b64-1739c6601aaf,2024-03-06 18:31:50,john.doe@personal.com,roberthernandez@example.org,Catching up,Personal
50d42bfd-06b0-4093-8520-89ed7481bf64,2024-03-12 18:31:50,jenniferwallace@example.org,john.doe@personal.com,Task Status: Exercise physiologist,Work
1d85f07b-3f15-4eb2-b6e1-6281b257c56c,2024-03-24 18:31:50,john.doe@personal.com,dlee@example.org,"Client Feedback: Thomas, Anderson and Parker",Work
cd21b0bd-5f9d-44c0-acd6-44d12beeb5f8,2024-03-22 18:31:50,jenniferwebster@example.com,john.doe@personal.com,Better.: Mr budget serious.,Personal
c208a4ca-ba0b-45e1-87b7-057cb1b5cacb,2024-03-13 18:31:50,tdonaldson@example.org,john.doe@personal.com,Exclusive Offer: Persistent 24hour time-frame,Spam
7942f758-8f84-4b3c-ac81-15ddaf98772a,2024-03-20 18:31:50,dhill@example.net,john.doe@personal.com,"Win a Prize: Alvarado, Black and Griffin",Spam
113384f7-0d89-455a-9ae5-b7c5cd4f1cb7,2024-03-17 18:31:50,ereese@example.org,john.doe@personal.com,Project Update - Walter LLC,Work
b2f90c7c-72a9-44b1-974d-8e91c530abfa,2024-03-29 18:31:50,fletcherstephanie@example.net,john.doe@personal.com,How are you?,Personal
5bf94446-78e3-46c2-a306-12014050afcb,2024-03-28 18:31:50,jasminemiller@example.org,john.doe@personal.com,Exclusive Offer: Front-line bottom-line ability,Spam
ced30467-f4ee-430b-9e60-692251859d84,2024-03-29 18:31:50,john.doe@personal.com,itaylor@example.net,Catching up,Personal
a8b43ba4-dc61-488c-9135-4a68854f3f1f,2024-03-06 18:31:50,nelsonnicole@example.org,john.doe@personal.com,Meeting Request: Grow institution say seek.,Work
dc05072b-41d4-4fa5-a065-38bba43c0127,2024-03-19 18:31:50,mooresteven@example.com,john.doe@personal.com,Limited Time Deal: incubate synergistic partnerships,Spam
b693fac3-f60f-4a82-a271-c8657a18b145,2024-03-17 18:31:50,jeremiahmedina@example.com,john.doe@personal.com,Meeting Request: Lot seven.,Work
89ab0df4-8747-44b4-8132-e215376e525e,2024-03-24 18:31:50,john.doe@personal.com,flemingthomas@example.net,Catching up,Personal
788779c1-2699-47a4-8f01-cfa8b8d6b86f,2024-03-28 18:31:50,michaelrogers@example.com,john.doe@personal.com,Free Gift: series,Spam
fe57edf6-01fa-40c4-9376-7137ca3f565f,2024-03-27 18:31:50,kelly80@example.net,john.doe@personal.com,Client Feedback: Thompson-Rice,Work
9eda79d5-e597-48b9-938f-d8961a943dc0,2024-03-07 18:31:50,john.doe@personal.com,huffmankimberly@example.net,Task Status: Financial manager,Work
1fb7d6e6-683f-41a5-9ccc-d09b8ad62661,2024-03-15 18:31:50,jamesmartin@example.org,john.doe@personal.com,Limited Time Deal: productize enterprise e-tailers,Spam
64b326a9-eaf9-4cd9-982f-5de93931c8f3,2024-03-03 18:31:50,jenniferwebster@example.com,john.doe@personal.com,Century.: Read campaign nation man series.,Personal
772be356-7c4b-4c3b-984d-591faec5d96e,2024-03-14 18:31:50,freemanshawn@example.net,john.doe@personal.com,Catching up,Personal
11986d16-007e-495f-86f4-a86be5e6ab6a,2024-02-29 18:31:50,melissa96@example.com,john.doe@personal.com,Limited Time Deal: orchestrate granular paradigms,Spam
450d858f-8ca3-4b52-ba4a-34027410184c,2024-03-01 18:31:50,john.doe@personal.com,stephen02@example.net,Client Feedback: Woods PLC,Work
c8b8b501-f92a-4052-a3d4-70eb6e0bf80b,2024-03-12 18:31:50,john.doe@personal.com,timothycummings@example.com,Project Update - Neal-Stone,Work
2c4754e6-8a84-4746-8a63-7d209783a79e,2024-03-15 18:31:50,johnstonkayla@example.org,john.doe@personal.com,Weekend plans?,Personal
c065651f-6862-4b5a-b2e0-9b96cf790ba1,2024-03-10 18:31:50,brian95@example.com,john.doe@personal.com,Catching up,Personal
8a521e56-8a64-42ba-89ab-bb9d2b65dfce,2024-03-11 18:31:50,nicholas93@example.org,john.doe@personal.com,Limited Time Deal: seize integrated niches,Spam
ab3ef160-9f1b-480d-8126-682e545be1d2,2024-03-09 18:31:50,iblanchard@example.com,john.doe@personal.com,Free Gift: hair,Spam
8fabfb34-6e02-494e-8786-352db2cd00e0,2024-03-29 18:31:50,jamesmartin@example.org,john.doe@personal.com,Free Gift: skin,Spam
463119c8-e9f4-45b2-baf8-4366b51b438d,2024-03-03 18:31:50,john.doe@personal.com,carolhoffman@example.org,How are you?,Personal
23a94834-9d74-47e5-8b74-e3ee138c0252,2024-03-25 18:31:50,dawsonamy@example.net,john.doe@personal.com,Task Status: Publishing copy,Work
07e7c5ba-f994-4d97-a33e-80b2245e9b5d,2024-03-18 18:31:50,huffmankimberly@example.net,john.doe@personal.com,Meeting Request: Drop race also.,Work
87353b7d-f585-4bfc-b569-420ecdbb8cfb,2024-03-23 18:31:50,reginagarcia@example.org,john.doe@personal.com,Free Gift: short,Spam
df2b5e05-1256-4df0-abc9-98d3fc279a54,2024-03-28 18:31:50,jmcgrath@example.net,john.doe@personal.com,Task Status: Product designer,Work
0d9fd64c-d001-4692-9efa-193d19d2e8f6,2024-03-12 18:31:50,elizabethmiller@example.com,john.doe@personal.com,Weekend plans?,Personal
d1061221-cd51-4a1f-a79d-4b54e031ea3b,2024-03-12 18:31:50,john.doe@personal.com,michaelcox@example.com,Meeting Request: Wind book sound second.,Work
b47ca748-068d-4f54-9960-e0e554e82f2f,2024-03-14 18:31:50,ibarrett@example.net,john.doe@personal.com,"Project Update - Clark, Austin and Boyd",Work
be9e4e67-d5b2-4841-84b8-a87c95f2d3a5,2024-03-19 18:31:50,john.doe@personal.com,sanchezalbert@example.com,"Task Status: Civil engineer, consulting",Work
2ffd5601-74fb-4341-add7-a0363cce32af,2024-03-23 18:31:50,john.doe@personal.com,denise10@example.net,How are you?,Personal
e1de20ee-fffa-4c60-9492-faf733c8ba03,2024-03-06 18:31:50,lopezkrystal@example.org,john.doe@personal.com,Exclusive Offer: Cross-group clear-thinking access,Spam
cc416060-412d-4fec-b540-7bd95b9d2a1f,2024-03-03 18:31:50,john.doe@personal.com,codybarber@example.net,Meeting Request: Pm morning study.,Work
a165ac2a-fbd3-49b5-9363-fa3ce106c200,2024-03-29 18:31:50,john.doe@personal.com,hstark@example.org,How are you?,Personal
2919a5a7-5e40-4a1e-b268-0121ac629bc7,2024-03-04 18:31:50,john.doe@personal.com,kwright@example.org,Meeting Request: Word report dinner attention case.,Work
ab9d2acc-f034-4698-90e5-1de142558089,2024-03-24 18:31:50,zstevens@example.net,john.doe@personal.com,"Win a Prize: Vincent, Phillips and Garcia",Spam
401c5ee0-91d2-46b8-a264-712e0b95044b,2024-03-07 18:31:50,john.doe@personal.com,ujohnson@example.com,Weekend plans?,Personal
a4bc2328-b1c1-4eaf-8b6b-80d6702c37f8,2024-03-08 18:31:50,john.doe@personal.com,torresralph@example.org,Individual ever.: Option strategy knowledge simply.,Personal
9573ddbd-b6e6-401e-9c54-4b72c41677b6,2024-03-22 18:31:50,sgonzales@example.net,john.doe@personal.com,Free Gift: little,Spam
a36501aa-6569-40ba-9090-346fd921fdf2,2024-03-25 18:31:50,jenniferwallace@example.org,john.doe@personal.com,"Client Feedback: Pope, Carson and Hernandez",Work
7e1df254-6ec0-40c4-8a03-87468457f8c0,2024-03-12 18:31:50,terrigibson@example.net,john.doe@personal.com,Client Feedback: Rogers Inc,Work
0a8a77ac-6ef0-4f77-914e-1da761b3938f,2024-03-12 18:31:50,taylortravis@example.com,john.doe@personal.com,Win a Prize: Cooper LLC,Spam
40e67bb4-a3f9-427b-981f-bd1100c30d56,2024-03-22 18:31:50,ebuck@example.org,john.doe@personal.com,Project Update - Ward-Parker,Work
7995d219-9a6e-49d2-a3eb-233c4ead8e45,2024-03-13 18:31:50,lindastewart@example.net,john.doe@personal.com,Free Gift: training,Spam
255cbb6e-5000-4381-87c8-36497c0179db,2024-03-13 18:31:50,brian61@example.org,john.doe@personal.com,"Client Feedback: Ramirez, Ayers and Becker",Work
e73eb3d2-af02-4196-969b-afde76640cf6,2024-03-24 18:31:50,jasonfernandez@example.org,john.doe@personal.com,Client Feedback: Noble and Sons,Work
f99aee6a-47dc-4fb9-8f84-b87f9b4fd610,2024-03-11 18:31:50,erichill@example.com,john.doe@personal.com,Task Status: Occupational hygienist,Work
6a6a8d96-d4cb-4148-a973-c3afec478e94,2024-03-26 18:31:50,sherry02@example.net,john.doe@personal.com,Meeting Request: Build trouble career necessary.,Work
5b56f8e1-47bd-445b-b4e4-42d2ded40396,2024-03-02 18:31:50,john.doe@personal.com,mccoycory@example.org,Catching up,Personal
69e67f4e-0ae1-4b88-9e6e-6cacf051b912,2024-03-25 18:31:50,michaelparker@example.org,john.doe@personal.com,Free Gift: hand,Spam
1c6d2114-370e-44bd-b4b7-1785e611f3c5,2024-03-01 18:31:50,wilcoxerin@example.net,john.doe@personal.com,Meeting Request: Model respond.,Work
5eeab6b3-dade-4d83-8ba6-16772caccf8d,2024-03-06 18:31:50,john.doe@personal.com,wespinoza@example.net,"Project Update - May, Osborn and Smith",Work
c836f184-1700-4a75-b957-338c9bc863e9,2024-03-28 18:31:50,hartmandeborah@example.org,john.doe@personal.com,Win a Prize: Wheeler Group,Spam
88d97286-4b90-43ce-81ec-af993c9e1b30,2024-03-10 18:31:50,qaguilar@example.net,john.doe@personal.com,How are you?,Personal
eebbfbd7-d538-4db9-9afb-ed72ad89a695,2024-03-28 18:31:50,tpeters@example.org,john.doe@personal.com,Weekend plans?,Personal
8ddd59fe-1555-4079-82d5-cb31431e0bc2,2024-03-19 18:31:50,reginagarcia@example.org,john.doe@personal.com,"Win a Prize: Hansen, Jackson and Jimenez",Spam
d62d4db2-5fda-4aa3-b497-1ed16245c0cf,2024-03-06 18:31:50,john.doe@personal.com,qrose@example.org,Client Feedback: Allen-Simon,Work
b5c9066d-c073-4f87-a59c-7253c96571ef,2024-02-28 18:31:50,deboraharellano@example.com,john.doe@personal.com,Catching up,Personal
46c43b6d-ce88-4534-9e6a-d1f90d657d23,2024-03-17 18:31:50,fletcherstephanie@example.net,john.doe@personal.com,Begin too.: City suddenly whole.,Personal
b5a4dd1e-ae0b-4852-a8b3-7ab75eb814e9,2024-03-11 18:31:50,john.doe@personal.com,sabrinawalters@example.net,Task Status: Acupuncturist,Work
cf08b171-dd8e-474d-b2cb-d37cc2546096,2024-03-05 18:31:50,garrettlynn@example.com,john.doe@personal.com,Meeting Request: Month check institution.,Work
8de717e3-1145-43b3-871e-dc61a0be6732,2024-03-23 18:31:50,deboraharellano@example.com,john.doe@personal.com,How are you?,Personal
7835660b-258b-49c0-b735-870bf620c7be,2024-03-04 18:31:50,john.doe@personal.com,pamelakey@example.org,Catching up,Personal
96053f6d-f234-4f9c-bae8-c7ca16a8ec72,2024-03-19 18:31:50,dlee@example.org,john.doe@personal.com,Client Feedback: Collins-Clark,Work
9e198c48-51f1-4e4f-b151-6dc8cbf53d11,2024-03-01 18:31:50,qrose@example.org,john.doe@personal.com,Client Feedback: Hines Inc,Work
3157e1da-b3c8-4d12-97e6-47a8885959c8,2024-03-15 18:31:50,shafferjanet@example.com,john.doe@personal.com,"Client Feedback: Gutierrez, Davis and Parker",Work
a34ae1a2-b06e-4e87-a5b3-44e5f9810df0,2024-03-21 18:31:50,john.doe@personal.com,briggsapril@example.com,"Task Status: Accountant, chartered management",Work
382932b9-e36e-4b57-abb2-2ce8743602f5,2024-03-02 18:31:50,hartmandeborah@example.org,john.doe@personal.com,"Win a Prize: Moran, Levy and Miller",Spam
a21c0733-c0ca-4574-ac83-744208c1ec08,2024-02-29 18:31:50,john.doe@personal.com,riddlejodi@example.net,How are you?,Personal
e060658d-30f9-4ebd-b536-963cf41e44f5,2024-03-01 18:31:50,john.doe@personal.com,kramerbrandi@example.org,"Client Feedback: Ward, Bennett and May",Work
0a80984f-f547-4eb0-be58-5eb08ff02ef5,2024-03-17 18:31:50,twilson@example.com,john.doe@personal.com,Realize event.: Doctor truth build reality.,Personal
497f14c9-e16a-4151-a089-9779e6e53af3,2024-03-15 18:31:50,megancameron@example.net,john.doe@personal.com,Free Gift: big,Spam
ae00a1d4-5ddb-4718-8b30-74cced2cd9b2,2024-03-06 18:31:50,shafferjanet@example.com,john.doe@personal.com,"Task Status: Physicist, medical",Work
224ff19f-8d87-48ae-8482-a06057822896,2024-03-10 18:31:50,john.doe@personal.com,jamesward@example.net,Catching up,Personal
085efb23-8345-46d9-8c95-4d0abdd04448,2024-03-18 18:31:50,john.doe@personal.com,mskinner@example.net,How are you?,Personal
2f67513d-72cb-493d-b6f9-a94e840d066f,2024-03-15 18:31:50,william56@example.org,john.doe@personal.com,Win a Prize: Wood PLC,Spam
4466cff0-9506-4163-84e3-fe469ca02459,2024-03-13 18:31:50,michelle50@example.net,john.doe@personal.com,Exclusive Offer: Sharable system-worthy leverage,Spam
0ec37da3-ebd6-44dc-8773-26b50c910b5b,2024-03-09 18:31:50,brandy23@example.net,john.doe@personal.com,Win a Prize: Williams PLC,Spam
e0780976-87d6-4e90-bf86-a40b5f74aebb,2024-03-07 18:31:50,iblanchard@example.com,john.doe@personal.com,"Win a Prize: Aguilar, Wilson and Bailey",Spam
29dc2f7a-89a8-4c1d-9788-0c13a8f44f55,2024-03-16 18:31:50,jefferyperez@example.org,john.doe@personal.com,Weekend plans?,Personal
a89c4af9-2f88-4bdc-ad10-fac9caee37ea,2024-03-03 18:31:50,john.doe@personal.com,erichill@example.com,Project Update - Mason-Ramos,Work
26bbd384-c034-4e92-b94d-05148099d1f5,2024-03-25 18:31:50,millerpaige@example.net,john.doe@personal.com,Win a Prize: Lynch-Jones,Spam
de7b4a53-82a8-4f85-9889-66965c33f645,2024-03-01 18:31:50,john.doe@personal.com,josephwalton@example.net,"Project Update - Little, Everett and Walker",Work
5d2aa88a-44f7-438f-84b7-a2bdeaf495dd,2024-03-14 18:31:50,michaelrogers@example.com,john.doe@personal.com,Win a Prize: Weber-Gutierrez,Spam
caf098a0-bb6f-4e57-9e53-be2bf7743e63,2024-03-29 18:31:50,ojones@example.com,john.doe@personal.com,Free Gift: account,Spam
7630908b-a828-45c5-a0e6-dc735c33c0f7,2024-03-17 18:31:50,terrigibson@example.net,john.doe@personal.com,Client Feedback: Brooks PLC,Work
a1a28ebe-78cb-4102-b6b2-505afaae5ba4,2024-03-22 18:31:50,smithkimberly@example.org,john.doe@personal.com,Meeting Request: Next must.,Work
88c1a40d-3d15-4a7a-8c28-49774484c673,2024-03-12 18:31:50,trobinson@example.net,john.doe@personal.com,Weekend plans?,Personal
a58e4655-de8c-42d6-a17f-a916aec64364,2024-03-28 18:31:50,cgallagher@example.org,john.doe@personal.com,Catching up,Personal
8ce55762-9619-4c39-9102-811957e9d2c5,2024-03-29 18:31:50,john.doe@personal.com,elizabethtate@example.net,Catching up,Personal
3059be4e-28c0-443e-8a42-f6697be78c57,2024-03-04 18:31:50,briggsapril@example.com,john.doe@personal.com,Project Update - Ford Group,Work
760dd603-0b7e-43d5-8628-6e623459bbf2,2024-03-29 18:31:50,jesus28@example.org,john.doe@personal.com,Win a Prize: Bennett Inc,Spam
6be942d2-1104-4386-9170-aad76a55144f,2024-02-29 18:31:50,john.doe@personal.com,mskinner@example.net,Weekend plans?,Personal
98348268-8255-40cd-9590-7a9e321c52a9,2024-03-15 18:31:50,lopezkrystal@example.org,john.doe@personal.com,Limited Time Deal: disintermediate out-of-the-box experiences,Spam
e28274a8-3d1b-4b69-b0c4-120a7543c528,2024-03-26 18:31:50,angela39@example.org,john.doe@personal.com,Join.: Party success.,Personal
